state_name,state_id,city,county_fips,county_name,lat,lng,population,density,zips
Alabama,AL,Abanda,1017,Chambers,33.0926,-85.5253,257,6.2,36276
Alabama,AL,Abbeville,1067,Henry,31.5664,-85.2528,2748,61.4,36310
Alabama,AL,Adamsville,1073,Jefferson,33.6073,-86.974,4266,63.2,35224 35060 35073 35005
Alabama,AL,Addison,1133,Winston,34.2017,-87.1765,649,66.7,35540
Alabama,AL,Akron,1065,Hale,32.8785,-87.7429,243,199.3,35441
Alabama,AL,Alabaster,1117,Shelby,33.2198,-86.8225,33917,494.6,35114 35007
Alabama,AL,Albertville,1095,Marshall,34.2633,-86.2108,22813,323.3,35951 35950
Alabama,AL,Alexander City,1123,Tallapoosa,32.9229,-85.9358,14606,123.1,35010 35011
Alabama,AL,Alexandria,1015,Calhoun,33.7675,-85.8792,3475,118.6,36265 36250
Alabama,AL,Aliceville,1107,Pickens,33.1237,-88.1593,2211,197.5,35442
Alabama,AL,Allgood,1009,Blount,33.9064,-86.5178,759,278.3,35013 35121
Alabama,AL,Altoona,1055,Etowah,34.0308,-86.3179,1252,101.6,35952
Alabama,AL,Andalusia,1039,Covington,31.3102,-86.4781,8766,172.3,36420 36421
Alabama,AL,Anderson,1077,Lauderdale,34.9147,-87.2716,410,92.3,35610
Alabama,AL,Anniston,1015,Calhoun,33.6712,-85.8135,80156,180,36201 36206 36207 36205 36204
Alabama,AL,Arab,1095,Marshall,34.3309,-86.4991,8679,248.4,35016
Alabama,AL,Ardmore,1083,Limestone,34.9847,-86.8373,1384,272.9,35739
Alabama,AL,Argo,1115,St. Clair,33.6963,-86.5063,4479,160.8,35173 35120
Alabama,AL,Ariton,1045,Dale,31.5978,-85.7131,614,53.6,36311
Alabama,AL,Arley,1133,Winston,34.0885,-87.2075,523,51.5,35541
Alabama,AL,Ashford,1069,Houston,31.1858,-85.2359,2447,151.8,36312
Alabama,AL,Ashland,1027,Clay,33.2703,-85.8337,1797,93.5,36251
Alabama,AL,Ashville,1115,St. Clair,33.8331,-86.2698,2464,55.2,35953 35987
Alabama,AL,Athens,1083,Limestone,34.7843,-86.9503,29002,253.5,35611 35613 35612
Alabama,AL,Atmore,1053,Escambia,31.0927,-87.4762,8334,148.2,36503 36502 36504
Alabama,AL,Attalla,1055,Etowah,34.005,-86.1039,5775,321.6,35954
Alabama,AL,Auburn,1081,Lee,32.6087,-85.4903,108605,482.9,36849 36832 36830 36831
Alabama,AL,Autaugaville,1001,Autauga,32.432,-86.6578,809,55.2,36003
Alabama,AL,Avon,1069,Houston,31.1797,-85.279,378,63.4,36312
Alabama,AL,Axis,1097,Mobile,30.9309,-88.018,326,26.8,36505
Alabama,AL,Babbie,1039,Covington,31.3022,-86.3229,790,18.8,36467 36421
Alabama,AL,Baileyton,1043,Cullman,34.2609,-86.6083,1039,71.7,35019
Alabama,AL,Bakerhill,1005,Barbour,31.7769,-85.2955,244,39.3,36027
Alabama,AL,Ballplay,1055,Etowah,34.0179,-85.7852,842,18.8,35903 36272
Alabama,AL,Banks,1109,Pike,31.8132,-85.8364,320,57.9,36005
Alabama,AL,Bay Minette,1003,Baldwin,30.893,-87.7912,8295,183.7,36507
Alabama,AL,Bayou La Batre,1097,Mobile,30.4126,-88.2611,1881,101.9,36544 36509
Alabama,AL,Bear Creek,1093,Marion,34.2651,-87.7164,1474,37.3,35581 35543
Alabama,AL,Beatrice,1099,Monroe,31.7332,-87.209,182,48.2,36425
Alabama,AL,Beaverton,1075,Lamar,33.9354,-88.0218,208,15.5,35544
Alabama,AL,Belgreen,1059,Franklin,34.4767,-87.8653,58,10.4,35653
Alabama,AL,Belk,1057,Fayette,33.6517,-87.9286,293,91.1,35545 35555
Alabama,AL,Bellamy,1119,Sumter,32.4582,-88.1277,158,19.4,35470 36901
Alabama,AL,Belle Fontaine,1097,Mobile,30.492,-88.1131,772,212,36582
Alabama,AL,Benton,1085,Lowndes,32.3078,-86.818,32,46.3,36785
Alabama,AL,Berlin,1043,Cullman,34.1862,-86.7473,887,155.5,35058 35055
Alabama,AL,Berry,1057,Fayette,33.6623,-87.6079,1040,38.1,35546
Alabama,AL,Bessemer,1073,Jefferson,33.3712,-86.9728,25400,243.7,35022 35020
Alabama,AL,Billingsley,1001,Autauga,32.661,-86.7087,115,23.3,36006
Alabama,AL,Birmingham,1073,Jefferson,33.5279,-86.7971,773997,523.3,35218 35214 35215 35217 35210 35211 35212 35213 35224 35221 35222 35203 35207 35206 35205 35204 35209 35208 35094 35254 35068 35061 35228 35234 35235 35233 35243 35242 35249 35201 35202 35220 35232 35238 35246 35255 35259 35261 35270 35282 35283 35285 35287 35290 35291 35292 35294 35295 35298
Alabama,AL,Black,1061,Geneva,31.0099,-85.744,467,44,36314
Alabama,AL,Blountsville,1009,Blount,34.0814,-86.5867,1648,125.1,35031
Alabama,AL,Blue Ridge,1051,Elmore,32.501,-86.1839,1190,68.5,36093
Alabama,AL,Blue Springs,1005,Barbour,31.6635,-85.5035,100,12.7,36374 36017
Alabama,AL,Boaz,1095,Marshall,34.1985,-86.1529,10814,287.8,35957 35956
Alabama,AL,Boligee,1063,Greene,32.7699,-88.0264,185,20.8,35443
Alabama,AL,Bon Air,1121,Talladega,33.2621,-86.3319,141,33.8,35150 35044 35032
Alabama,AL,Bon Secour,1003,Baldwin,30.3222,-87.7271,2789,276.5,36511 36535
Alabama,AL,Boykin,1131,Wilcox,32.0696,-87.2915,239,38.7,36723
Alabama,AL,Brantley,1041,Crenshaw,31.5823,-86.2569,888,113.7,36009
Alabama,AL,Brantleyville,1117,Shelby,33.2196,-86.882,845,126.6,35114
Alabama,AL,Brent,1007,Bibb,32.9421,-87.1753,4010,125.6,35042 35034
Alabama,AL,Brewton,1053,Escambia,31.1113,-87.0737,5186,178.8,36426 36427
Alabama,AL,Bridgeport,1071,Jackson,34.9496,-85.7243,2246,212.1,35740
Alabama,AL,Brighton,1073,Jefferson,33.4396,-86.9454,3079,843.6,35020
Alabama,AL,Brilliant,1093,Marion,34.0256,-87.7691,1097,39.3,35594 35548
Alabama,AL,Bristow Cove,1055,Etowah,34.1092,-86.241,144,5.3,35956
Alabama,AL,Brook Highland,1117,Shelby,33.4359,-86.6849,8146,1180.2,35242
Alabama,AL,Brookside,1073,Jefferson,33.6372,-86.9002,1603,73.4,35214 35117 35073 35036
Alabama,AL,Brookwood,1125,Tuscaloosa,33.2398,-87.3277,2706,114.8,35444
Alabama,AL,Broomtown,1019,Cherokee,34.3657,-85.5322,279,18.3,35973
Alabama,AL,Brundidge,1109,Pike,31.7182,-85.8178,2392,86,36010
Alabama,AL,Bucks,1097,Mobile,31.0169,-88.0249,7,5.4,36512 36560
Alabama,AL,Butler,1023,Choctaw,32.0965,-88.2108,2386,146,36904
Alabama,AL,Calera,1117,Shelby,33.1254,-86.7449,17714,273,35040
Alabama,AL,Calvert,1129,Washington,31.154,-88.0169,83,13.7,36513 36560
Alabama,AL,Camden,1131,Wilcox,32.0007,-87.2967,1803,189.7,36726
Alabama,AL,Camp Hill,1123,Tallapoosa,32.8002,-85.6536,1238,47.2,36850
Alabama,AL,Carbon Hill,1127,Walker,33.8944,-87.5224,1536,100.9,35549
Alabama,AL,Cardiff,1073,Jefferson,33.6473,-86.9308,125,63.6,35073
Alabama,AL,Carlisle-Rockledge,1055,Etowah,34.114,-86.1191,1993,42.7,35956 35954
Alabama,AL,Carlton,1025,Clarke,31.343,-87.8378,35,2.7,36545
Alabama,AL,Carolina,1039,Covington,31.2337,-86.5227,337,87.1,36420
Alabama,AL,Carrollton,1107,Pickens,33.2619,-88.0951,781,167.3,35447
Alabama,AL,Castleberry,1035,Conecuh,31.3001,-87.0269,279,65,36432
Alabama,AL,Catherine,1131,Wilcox,32.186,-87.4699,8,5.1,36728
Alabama,AL,Cedar Bluff,1019,Cherokee,34.2217,-85.5882,1629,131.1,35959
Alabama,AL,Center Point,1073,Jefferson,33.6447,-86.6852,15914,1001.8,35215
Alabama,AL,Centre,1019,Cherokee,34.1537,-85.6689,3700,120.9,35960
Alabama,AL,Centreville,1007,Bibb,32.9598,-87.1334,2741,112.6,35042
Alabama,AL,Chatom,1129,Washington,31.4691,-88.246,834,24.1,36518
Alabama,AL,Chelsea,1117,Shelby,33.3262,-86.63,16260,186.2,35051 35043
Alabama,AL,Cherokee,1033,Colbert,34.7577,-87.967,1120,184.5,35616
Alabama,AL,Cherokee Ridge,1095,Marshall,34.4222,-86.5624,577,120,35175
Alabama,AL,Chickasaw,1097,Mobile,30.7715,-88.0793,6332,585.8,36611 36671
Alabama,AL,Childersburg,1121,Talladega,33.2962,-86.3456,4655,147,35044
Alabama,AL,Choccolocco,1015,Calhoun,33.6683,-85.7128,2620,103.4,36207 36254
Alabama,AL,Chunchula,1097,Mobile,30.9237,-88.2072,250,45.6,36521
Alabama,AL,Citronelle,1097,Mobile,31.0952,-88.2467,3913,58.4,36522
Alabama,AL,Clanton,1021,Chilton,32.8444,-86.6233,8958,147.8,35045 35046
Alabama,AL,Clay,1073,Jefferson,33.6951,-86.609,10273,352.3,35173 35126
Alabama,AL,Clayhatchee,1045,Dale,31.2434,-85.7136,414,69.6,36322
Alabama,AL,Clayton,1005,Barbour,31.8823,-85.4605,2295,129.4,36016
Alabama,AL,Cleveland,1009,Blount,33.9964,-86.5671,1182,67.2,35049 35121
Alabama,AL,Clio,1005,Barbour,31.7085,-85.6109,1422,53.4,36017
Alabama,AL,Coaling,1125,Tuscaloosa,33.1641,-87.3534,2573,173.5,35453 35449
Alabama,AL,Coats Bend,1055,Etowah,34.0774,-85.8742,1630,64.5,35901
Alabama,AL,Coffee Springs,1061,Geneva,31.1664,-85.9103,283,124.1,36318
Alabama,AL,Coffeeville,1025,Clarke,31.7666,-88.0861,237,20.2,36524
Alabama,AL,Coker,1125,Tuscaloosa,33.2446,-87.68,1058,228.1,35452
Alabama,AL,Collinsville,1049,DeKalb,34.2664,-85.8679,1781,211.8,35961
Alabama,AL,Colony,1043,Cullman,33.9413,-86.9022,343,46.6,35077
Alabama,AL,Columbia,1069,Houston,31.2968,-85.1103,785,75.5,36319
Alabama,AL,Columbiana,1117,Shelby,33.193,-86.6114,4725,99.3,35051
